student_id,academic_year,year_level,faculty,study_mode,entry_pathway,gender,residency_status,age,family_income_band,parental_education,scholarship_type,employment_status,attendance_pct,weekly_study_hrs,prior_gpa,internet_access,support_services_used,mental_health_support,units_enrolled,units_completed,at_risk_flag,composite_score,final_outcome,final_gpa
STU-00001,2023,3,Health Sciences,Full-time,High School (ATAR),Male,International,24,Upper-Mid ($110–160k),TAFE / Certificate,Merit-Based,Part-time (≤20 hrs),99.0,22.7,3.38,Yes,None,No,4,4,No,73.34,Pass,2.47
STU-00002,2024,3,Business,Full-time,International Pathway,Female,International,23,Lower-Mid ($40–70k),Bachelor,None,Part-time (≤20 hrs),80.2,22.3,3.77,Yes,None,No,4,4,No,57.14,Pass,2.26
STU-00003,2022,1,Business,Full-time,High School (ATAR),Male,Domestic,21,Upper-Mid ($110–160k),Bachelor,None,Not Employed,86.3,13.2,3.22,Yes,Peer Tutoring,No,4,4,No,73.89,Distinction,3.26
STU-00004,2024,1,Information Technology,Full-time,High School (ATAR),Male,Domestic,23,Upper-Mid ($110–160k),Postgraduate,None,Full-time (>20 hrs),46.6,10.2,3.68,Yes,Peer Tutoring,No,4,1,Yes,47.65,Fail,0.6
STU-00005,2024,2,Business,Full-time,TAFE / Diploma,Male,Domestic,23,Mid ($70–110k),TAFE / Certificate,Equity / Need-Based,Not Employed,88.7,18.6,2.72,Yes,Academic Advisor,No,4,4,No,68.38,Pass,2.25
STU-00006,2022,1,Information Technology,Part-time,High School (ATAR),Female,Domestic,19,High (>$160k),No Tertiary,None,Part-time (≤20 hrs),61.0,18.0,3.13,Yes,None,No,2,2,No,41.62,Pass,2.67
STU-00007,2023,3,Arts & Humanities,Full-time,Mature Age Entry,Female,International,31,Lower-Mid ($40–70k),Postgraduate,None,Not Employed,100.0,19.8,2.68,Yes,Academic Advisor,No,4,4,No,78.98,Pass,2.29
STU-00008,2024,3,Information Technology,Full-time,High School (ATAR),Male,International,25,Upper-Mid ($110–160k),Postgraduate,Merit-Based,Full-time (>20 hrs),59.8,15.3,2.81,Yes,None,No,4,4,Yes,52.57,Pass,2.78
STU-00009,2022,1,Education,Part-time,International Pathway,Male,Domestic,20,Lower-Mid ($40–70k),Bachelor,Equity / Need-Based,Full-time (>20 hrs),41.6,18.6,2.71,Yes,Peer Tutoring,No,2,0,Yes,37.46,Fail,1.45
STU-00010,2023,1,Engineering,Full-time,International Pathway,Female,Domestic,23,Mid ($70–110k),Bachelor,None,Part-time (≤20 hrs),86.2,19.5,2.32,Yes,None,No,4,4,No,61.25,Pass,2.53
STU-00011,2024,3,Engineering,Full-time,High School (ATAR),Female,Domestic,21,Lower-Mid ($40–70k),No Tertiary,Equity / Need-Based,Not Employed,62.4,20.0,2.82,Yes,Academic Advisor,No,4,4,No,71.42,Pass,2.41
STU-00012,2023,2,Business,Full-time,Mature Age Entry,Male,Domestic,23,High (>$160k),No Tertiary,None,Part-time (≤20 hrs),56.8,12.8,2.47,Yes,Academic Advisor,No,4,1,Yes,47.48,Fail,1.01
STU-00013,2023,2,Information Technology,Full-time,High School (ATAR),Non-binary / Other,Domestic,22,Mid ($70–110k),Postgraduate,External,Not Employed,66.5,8.8,3.54,Yes,Multiple Services,Yes,4,4,No,60.5,Pass,2.49
STU-00014,2024,3,Business,Part-time,Transfer / Credit,Male,International,25,Upper-Mid ($110–160k),No Tertiary,External,Not Employed,71.6,7.5,2.85,Yes,None,No,2,1,Yes,48.15,Fail,1.89
STU-00015,2023,4,Information Technology,Full-time,High School (ATAR),Female,Domestic,23,Upper-Mid ($110–160k),No Tertiary,Merit-Based,Full-time (>20 hrs),52.5,8.4,2.93,Yes,None,No,4,2,Yes,49.11,Fail,1.34
STU-00016,2023,1,Business,Full-time,TAFE / Diploma,Female,Domestic,20,Low (<$40k),No Tertiary,None,Part-time (≤20 hrs),67.6,4.0,3.78,No,None,No,4,4,Yes,50.81,Pass,2.64
STU-00017,2022,2,Business,Part-time,Transfer / Credit,Male,International,25,High (>$160k),Bachelor,Merit-Based,Full-time (>20 hrs),64.6,23.3,2.63,Yes,None,No,2,1,No,51.43,Fail,1.9
STU-00018,2024,2,Business,Full-time,High School (ATAR),Male,International,21,Mid ($70–110k),Bachelor,Merit-Based,Full-time (>20 hrs),80.5,18.8,3.66,Yes,None,No,4,4,Yes,67.45,Pass,2.25
STU-00019,2024,2,Engineering,Full-time,TAFE / Diploma,Female,Domestic,21,Mid ($70–110k),TAFE / Certificate,None,Full-time (>20 hrs),48.0,5.7,3.66,Yes,Peer Tutoring,No,4,1,Yes,35.06,Fail,1.81
STU-00020,2023,2,Arts & Humanities,Part-time,Transfer / Credit,Male,Domestic,22,High (>$160k),Postgraduate,Merit-Based,Part-time (≤20 hrs),72.2,3.4,4.0,Yes,None,No,2,2,Yes,65.49,Pass,2.61
STU-00021,2022,2,Engineering,Full-time,International Pathway,Male,International,23,Low (<$40k),Bachelor,None,Part-time (≤20 hrs),84.2,18.7,2.75,Yes,Counselling,Yes,4,4,No,62.75,Pass,2.8
STU-00022,2023,1,Health Sciences,Part-time,High School (ATAR),Female,Domestic,21,Low (<$40k),TAFE / Certificate,None,Part-time (≤20 hrs),69.2,10.1,2.82,Yes,Academic Advisor,No,2,2,No,44.38,Pass,2.04
STU-00023,2023,1,Arts & Humanities,Full-time,Mature Age Entry,Female,International,17,High (>$160k),TAFE / Certificate,None,Part-time (≤20 hrs),76.8,22.2,2.75,Yes,Academic Advisor,No,4,4,No,74.37,Distinction,3.49
STU-00024,2022,1,Engineering,Full-time,High School (ATAR),Female,International,22,High (>$160k),No Tertiary,Merit-Based,Part-time (≤20 hrs),46.7,24.4,4.0,Yes,None,No,4,4,Yes,56.29,Pass,2.83
STU-00025,2022,3,Business,Part-time,TAFE / Diploma,Female,International,22,Low (<$40k),No Tertiary,Merit-Based,Part-time (≤20 hrs),82.1,1.0,3.51,Yes,Counselling,Yes,2,1,Yes,40.8,Fail,1.86
STU-00026,2022,3,Engineering,Part-time,TAFE / Diploma,Female,Domestic,27,High (>$160k),No Tertiary,None,Full-time (>20 hrs),38.4,2.2,2.51,Yes,None,No,2,0,Yes,18.87,Withdrawn,0.0
STU-00027,2023,1,Engineering,Full-time,Mature Age Entry,Male,International,19,Upper-Mid ($110–160k),No Tertiary,Equity / Need-Based,Full-time (>20 hrs),54.7,13.6,2.5,Yes,Academic Advisor,No,4,0,Yes,35.28,Withdrawn,0.0
STU-00028,2023,3,Arts & Humanities,Full-time,TAFE / Diploma,Female,Domestic,24,Mid ($70–110k),Bachelor,None,Part-time (≤20 hrs),58.8,14.2,2.34,Yes,Multiple Services,Yes,4,4,Yes,45.6,Pass,2.66
STU-00029,2022,3,Arts & Humanities,Full-time,High School (ATAR),Male,Domestic,23,Low (<$40k),TAFE / Certificate,None,Not Employed,53.3,17.6,2.63,No,Peer Tutoring,No,4,2,Yes,48.36,Fail,1.62
STU-00030,2023,2,Business,Full-time,High School (ATAR),Female,Domestic,25,Lower-Mid ($40–70k),TAFE / Certificate,Merit-Based,Not Employed,72.8,19.0,2.62,Yes,None,No,4,4,No,58.65,Pass,2.49
STU-00031,2023,3,Health Sciences,Part-time,High School (ATAR),Male,Domestic,23,Low (<$40k),No Tertiary,None,Full-time (>20 hrs),69.1,18.8,1.83,Yes,Multiple Services,Yes,2,1,No,38.8,Fail,1.74
STU-00032,2022,3,Information Technology,Part-time,Transfer / Credit,Female,International,24,Upper-Mid ($110–160k),TAFE / Certificate,None,Full-time (>20 hrs),52.8,15.3,2.42,Yes,Counselling,Yes,2,1,Yes,36.99,Fail,0.76
STU-00033,2024,3,Arts & Humanities,Part-time,Transfer / Credit,Male,Domestic,24,Low (<$40k),Postgraduate,None,Part-time (≤20 hrs),54.7,12.7,4.0,No,None,No,2,2,Yes,45.96,Pass,2.63
STU-00034,2024,2,Engineering,Part-time,TAFE / Diploma,Non-binary / Other,Domestic,19,Upper-Mid ($110–160k),No Tertiary,None,Not Employed,53.2,10.7,2.32,Yes,Academic Advisor,No,2,0,Yes,43.15,Fail,1.57
STU-00035,2024,1,Engineering,Part-time,TAFE / Diploma,Male,International,17,Mid ($70–110k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),74.4,7.3,3.29,Yes,None,No,2,2,Yes,52.0,Pass,2.63
STU-00036,2022,1,Business,Full-time,High School (ATAR),Female,Domestic,17,Low (<$40k),TAFE / Certificate,None,Not Employed,71.5,15.6,3.34,Yes,Academic Advisor,No,4,0,No,36.95,Withdrawn,0.0
STU-00037,2024,2,Engineering,Full-time,High School (ATAR),Female,Domestic,23,Lower-Mid ($40–70k),Bachelor,None,Part-time (≤20 hrs),76.7,9.3,2.99,Yes,Academic Advisor,No,4,4,No,65.84,Pass,2.28
STU-00038,2024,4,Information Technology,Full-time,High School (ATAR),Female,Domestic,21,Upper-Mid ($110–160k),No Tertiary,Merit-Based,Full-time (>20 hrs),89.1,10.4,3.3,Yes,None,No,4,4,Yes,57.68,Pass,2.5
STU-00039,2022,3,Information Technology,Full-time,High School (ATAR),Male,Domestic,23,Mid ($70–110k),Bachelor,None,Not Employed,96.4,14.5,2.2,Yes,None,No,4,4,No,67.84,Pass,2.8
STU-00040,2024,1,Arts & Humanities,Full-time,High School (ATAR),Female,Domestic,21,Low (<$40k),Bachelor,None,Part-time (≤20 hrs),65.9,18.4,2.96,Yes,Peer Tutoring,No,4,2,No,46.74,Fail,1.96
STU-00041,2023,1,Education,Part-time,High School (ATAR),Female,Domestic,22,Lower-Mid ($40–70k),Bachelor,None,Not Employed,88.5,8.6,3.1,Yes,Peer Tutoring,No,2,2,No,52.39,Pass,2.73
STU-00042,2024,1,Information Technology,Full-time,High School (ATAR),Female,Domestic,21,Mid ($70–110k),Bachelor,None,Part-time (≤20 hrs),98.5,23.9,2.79,Yes,Peer Tutoring,No,4,4,No,75.11,Pass,2.74
STU-00043,2023,2,Health Sciences,Full-time,International Pathway,Male,International,24,Lower-Mid ($40–70k),Bachelor,None,Not Employed,70.1,8.8,2.56,Yes,Multiple Services,Yes,4,4,No,53.73,Pass,2.7
STU-00044,2023,2,Arts & Humanities,Part-time,Mature Age Entry,Male,Domestic,20,Low (<$40k),No Tertiary,None,Part-time (≤20 hrs),65.3,12.0,1.69,Yes,Peer Tutoring,No,2,0,No,49.8,Fail,1.75
STU-00045,2024,2,Engineering,Full-time,High School (ATAR),Female,International,23,Upper-Mid ($110–160k),Bachelor,Equity / Need-Based,Not Employed,60.4,18.8,2.67,Yes,Peer Tutoring,No,4,4,No,72.34,Pass,2.81
STU-00046,2022,3,Health Sciences,Full-time,Mature Age Entry,Male,Domestic,32,Upper-Mid ($110–160k),Postgraduate,Equity / Need-Based,Not Employed,59.8,5.6,3.09,Yes,None,No,4,0,Yes,46.08,Fail,1.67
STU-00047,2022,3,Business,Full-time,Transfer / Credit,Female,International,21,Upper-Mid ($110–160k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),45.5,13.7,2.99,Yes,Academic Advisor,No,4,2,Yes,39.13,Fail,0.67
STU-00048,2022,4,Engineering,Full-time,Mature Age Entry,Female,International,21,Lower-Mid ($40–70k),TAFE / Certificate,Equity / Need-Based,Full-time (>20 hrs),70.8,15.5,2.68,Yes,None,No,4,4,Yes,59.57,Pass,2.28
STU-00049,2024,1,Engineering,Full-time,High School (ATAR),Female,Domestic,22,Upper-Mid ($110–160k),Postgraduate,Merit-Based,Full-time (>20 hrs),69.2,12.1,4.0,Yes,None,No,4,4,Yes,59.67,Pass,2.57
STU-00050,2023,1,Engineering,Full-time,High School (ATAR),Female,Domestic,22,Mid ($70–110k),Bachelor,External,Part-time (≤20 hrs),88.0,22.1,3.45,Yes,None,No,4,4,No,71.09,Distinction,3.45
STU-00051,2024,1,Business,Full-time,TAFE / Diploma,Female,International,24,Low (<$40k),TAFE / Certificate,External,Part-time (≤20 hrs),100.0,19.1,2.47,Yes,Peer Tutoring,No,4,4,No,52.96,Pass,2.04
STU-00052,2024,2,Business,Full-time,High School (ATAR),Male,Domestic,26,Lower-Mid ($40–70k),No Tertiary,Equity / Need-Based,Part-time (≤20 hrs),88.2,23.4,3.01,Yes,None,No,4,4,No,56.8,Pass,2.49
STU-00053,2023,3,Engineering,Part-time,TAFE / Diploma,Female,Domestic,27,Mid ($70–110k),TAFE / Certificate,None,Not Employed,66.1,18.5,2.32,Yes,Academic Advisor,No,2,2,No,50.8,Pass,2.92
STU-00054,2024,4,Information Technology,Full-time,TAFE / Diploma,Female,International,27,Upper-Mid ($110–160k),Postgraduate,None,Part-time (≤20 hrs),72.4,12.5,2.05,Yes,None,No,4,4,No,43.37,Pass,2.26
STU-00055,2022,2,Business,Full-time,High School (ATAR),Female,Domestic,24,High (>$160k),Postgraduate,None,Not Employed,62.9,21.2,2.89,Yes,None,No,4,4,No,57.1,Pass,2.6
STU-00056,2024,2,Health Sciences,Part-time,High School (ATAR),Male,International,23,Low (<$40k),Bachelor,Merit-Based,Full-time (>20 hrs),63.8,4.3,2.83,Yes,Academic Advisor,No,2,0,Yes,46.55,Fail,1.28
STU-00057,2023,1,Health Sciences,Full-time,High School (ATAR),Female,Domestic,17,Lower-Mid ($40–70k),No Tertiary,Equity / Need-Based,Not Employed,60.8,15.2,3.1,Yes,Academic Advisor,No,4,3,No,45.68,Fail,1.52
STU-00058,2023,4,Health Sciences,Full-time,Transfer / Credit,Female,Domestic,25,High (>$160k),Bachelor,None,Part-time (≤20 hrs),80.9,5.4,2.95,Yes,None,No,4,4,Yes,61.49,Pass,2.18
STU-00059,2023,4,Health Sciences,Full-time,High School (ATAR),Female,Domestic,29,Lower-Mid ($40–70k),Postgraduate,Equity / Need-Based,Not Employed,75.2,13.4,3.04,Yes,Academic Advisor,No,4,4,No,84.84,Distinction,3.34
STU-00060,2022,1,Information Technology,Full-time,Transfer / Credit,Non-binary / Other,International,22,Lower-Mid ($40–70k),No Tertiary,External,Not Employed,53.2,19.1,3.19,Yes,Multiple Services,Yes,4,4,Yes,59.1,Pass,2.73
STU-00061,2022,1,Arts & Humanities,Full-time,Transfer / Credit,Female,Domestic,20,Lower-Mid ($40–70k),Bachelor,None,Full-time (>20 hrs),81.1,14.2,3.49,Yes,Academic Advisor,No,4,4,Yes,45.8,Pass,2.62
